,predicted_classes
0,2
1,3
2,2
3,3
4,2
5,3
6,2
7,3
8,2
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,3
31,2
32,2
33,2
34,2
35,2
36,2
37,3
38,2
39,3
40,2
41,2
42,2
43,3
44,3
45,3
46,3
47,3
48,2
49,3
50,3
51,3
52,2
53,3
54,2
55,3
56,2
57,3
58,2
59,3
60,2
61,3
62,2
63,2
64,2
65,2
66,2
67,2
68,3
69,3
70,2
71,2
72,2
73,2
74,2
75,3
76,2
77,2
78,2
79,3
80,3
81,3
82,3
83,3
84,2
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,2
101,3
102,3
103,2
104,3
105,3
106,2
107,3
108,3
109,2
110,3
111,3
112,3
113,3
114,3
115,3
116,3
117,3
118,3
119,3
120,3
121,2
122,3
123,3
124,3
125,3
126,2
127,2
128,3
129,3
130,2
131,2
132,2
133,2
134,3
135,2
136,2
137,2
138,3
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,2
160,2
161,2
162,2
163,3
164,3
165,3
166,3
167,2
168,3
169,2
170,2
171,3
172,2
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,3
181,3
182,3
183,3
184,3
185,3
186,3
187,3
188,2
189,2
190,2
191,3
192,2
193,3
194,3
195,3
196,3
197,3
198,3
199,3
200,3
201,3
202,2
203,3
204,3
205,3
206,2
207,2
208,2
209,0
210,3
211,2
212,2
213,2
214,2
215,2
216,2
217,3
218,2
219,3
220,3
221,3
222,3
223,3
224,3
225,2
226,2
227,2
228,3
229,3
230,3
231,3
232,3
233,2
234,2
235,2
236,2
237,2
238,3
239,2
240,3
241,2
242,2
243,2
244,3
245,3
246,2
247,2
248,3
249,3
250,3
251,2
252,2
253,2
254,2
255,3
256,2
257,2
258,3
259,2
260,3
261,2
262,3
263,2
264,3
265,3
266,3
267,3
268,3
269,3
270,3
271,3
272,2
273,3
274,2
275,2
276,3
277,2
278,2
279,3
280,3
281,3
282,3
283,3
284,2
285,3
286,3
287,2
288,3
289,3
290,3
291,3
292,3
293,3
294,2
295,3
296,3
297,2
298,2
299,3
300,2
301,2
302,3
303,3
304,2
305,2
306,2
307,3
308,3
309,2
310,3
311,2
312,2
313,3
314,2
315,2
316,2
317,3
318,3
319,3
320,2
321,2
322,2
323,2
324,2
325,2
326,2
327,3
328,2
329,3
330,2
331,3
332,3
333,3
334,3
335,3
336,3
337,2
338,2
339,2
340,3
341,2
342,3
343,3
344,3
345,3
346,2
347,3
348,3
349,3
350,3
351,3
352,3
353,3
354,3
355,2
356,2
357,3
358,2
359,3
360,3
361,2
362,2
363,2
364,3
365,3
366,2
367,3
368,3
369,3
370,2
371,2
372,3
373,3
374,2
375,2
376,2
377,2
378,2
379,2
380,2
381,3
382,3
383,2
384,2
385,2
386,2
387,2
388,3
389,2
390,2
391,3
392,2
393,2
394,2
395,2
396,3
397,3
398,3
399,2
400,3
401,3
402,3
403,3
404,2
405,2
406,2
407,3
408,2
409,3
410,3
411,2
412,2
413,3
414,3
415,3
416,3
417,2
418,2
419,3
420,3
421,2
422,3
423,3
424,3
425,3
426,3
427,3
428,3
429,2
430,2
431,2
432,2
433,2
434,2
435,2
436,2
437,2
438,2
439,2
440,2
441,2
442,2
443,2
444,2
445,2
446,2
447,2
448,2
449,2
450,3
451,2
452,2
453,2
454,2
455,3
456,2
457,3
458,2
459,2
460,2
461,2
462,2
463,2
464,2
465,2
466,2
467,2
468,2
469,2
470,2
471,2
472,2
473,2
474,2
475,2
476,2
477,2
478,2
479,2
480,2
481,2
482,2
483,2
484,2
485,2
486,2
487,2
488,2
489,2
490,2
491,2
492,2
493,2
494,2
495,2
496,2
497,2
498,2
499,2
500,2
501,2
502,2
503,2
504,3
505,2
506,2
507,2
508,2
509,2
510,2
511,2
512,3
513,2
514,2
515,2
516,2
517,2
518,2
519,2
520,2
521,2
522,2
523,2
524,2
525,2
526,2
527,2
528,2
529,2
530,2
531,3
532,3
533,3
534,2
535,2
536,2
537,2
538,2
539,2
540,2
541,2
542,2
543,2
544,2
545,2
546,2
547,2
548,2
549,2
550,2
551,2
552,2
553,2
554,2
555,2
556,2
557,2
558,2
559,2
560,2
561,2
562,2
563,2
564,2
565,2
566,2
567,2
568,2
569,2
570,2
571,2
572,2
573,2
574,2
575,2
576,2
577,2
578,2
579,2
580,2
581,2
582,2
